RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           12     M =           20

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   71  147     1     3  con    0  1.0D+00  9.7D-07  4.362D-03  2.061D+00
   72  148     1     3  con    0  1.0D+00  2.1D-06  3.916D-03  2.061D+00
   73  149     1     3  con    0  1.0D+00  8.4D-07  2.839D-03  2.061D+00
   74  150     1     3  con    0  1.0D+00  3.8D-06  3.957D-03  2.061D+00
   75  152     1     3  con    1  2.6D-01  7.8D-06  1.077D-02  2.061D+00
   76  153     1     3  con    0  1.0D+00  1.4D-06  5.189D-03  2.061D+00
   77  154     1     3  con    0  1.0D+00  4.6D-06  1.515D-03  2.061D+00
   78  155     1     3  con    0  1.0D+00  2.2D-06  1.979D-03  2.061D+00
   79  158     1     3  con    2  2.4D-02  1.9D-06  4.335D-03  2.061D+00
   80  160     1     3  con    1  5.4D-02  4.3D-06  8.681D-03  2.061D+00
   81  164     1     3  con    3  1.8D+00  6.1D-06  1.099D-02  2.061D+00
   82  165     1     3  con    0  1.0D+00  2.9D-06  6.357D-03  2.061D+00
   83  166     1     3  con    0  1.0D+00  1.1D-05  2.452D-03  2.061D+00
   84  168     1     3  con    1  2.0D-01  2.8D-06  4.009D-03  2.061D+00
   85  169     1     3  con    0  1.0D+00  1.7D-06  1.882D-03  2.061D+00
   86  174     1     3  con    4  2.0D-01  3.3D-06  2.333D-03  2.061D+00
   87  175     1     3  con    0  1.0D+00  2.2D-06  1.436D-03  2.061D+00
   88  176     1     3  con    0  1.0D+00  8.1D-07  2.682D-03  2.061D+00
   89  178     1     3  con    1  8.4D-02  4.2D-06  9.281D-03  2.061D+00
   90  179     1     3  con    0  1.0D+00  2.3D-06  8.609D-03  2.061D+00
   91  180     1     3  con    0  1.0D+00  1.7D-05  7.534D-03  2.061D+00
   92  181     1     3  con    0  1.0D+00  3.1D-05  2.260D-03  2.061D+00
   93  182     1     3  con    0  1.0D+00  6.7D-06  3.670D-03  2.061D+00
   94  184     1     3  con    1  3.9D-01  1.3D-05  9.493D-03  2.061D+00
   95  186     1     3  con    1  4.8D-01  2.0D-05  1.231D-02  2.061D+00
   96  187     1     3  con    0  1.0D+00  4.9D-06  6.079D-03  2.061D+00
   97  189     1     3  con    1  4.5D-01  2.2D-05  7.945D-03  2.061D+00
   98  190     1     3  con    0  1.0D+00  1.9D-05  1.237D-02  2.061D+00
   99  192     1     3  con    1  5.0D+00  2.5D-04  1.178D-02  2.061D+00
  100  193     1     3  con    0  1.0D+00  2.7D-05  1.393D-03  2.061D+00
  101  194     1     3  con    0  1.0D+00  1.4D-04  3.793D-02  2.061D+00
  102  204     1     3  con    9  3.6D-07  1.0D-09  3.852D-02  2.061D+00
  103  205     1     3  con    0  1.0D+00  2.3D-06  3.282D-02  2.061D+00
  104  206     1     3  con    0  1.0D+00  8.6D-06  2.569D-03  2.061D+00
  105  211     1     3  con    4  1.0D-02  1.4D-08  1.404D-03  2.061D+00
  106  213     1     3  con    1  5.0D+00  4.6D-06  7.021D-03  2.061D+00
  107  214     1     3  con    0  1.0D+00  2.6D-05  2.292D-02  2.061D+00
  108  215     1     3  con    0  1.0D+00  1.4D-06  1.611D-02  2.061D+00
  109  216     1     3  con    0  1.0D+00  3.6D-05  7.805D-03  2.061D+00
  110  217     1     3  con    0  1.0D+00  4.2D-06  2.019D-03  2.061D+00
  111  218     1     3  con    0  1.0D+00  3.0D-05  1.163D-02  2.061D+00
  112  219     1     3  con    0  1.0D+00  6.0D-06  8.528D-03  2.061D+00
  113  220     1     3  con    0  1.0D+00  4.0D-05  1.351D-03  2.061D+00
  114  223     1     3  con    2  1.4D-01  8.9D-05  1.482D-02  2.061D+00
  115  233     1     3  con    9  9.9D-04  6.7D-08  1.498D-02  2.061D+00
  116  234     1     3  con    0  1.0D+00  2.1D-06  8.092D-03  2.061D+00
  117  235     1     3  con    0  1.0D+00  3.9D-06  3.970D-03  2.061D+00
  118  236     1     3  con    0  1.0D+00  1.3D-06  2.191D-03  2.061D+00
  119  238     1     3  con    1  1.3D-01  6.5D-06  6.703D-03  2.061D+00
  120  239     1     3  con    0  1.0D+00  4.5D-06  9.040D-03  2.061D+00
  121  240     1     3  con    0  1.0D+00  6.0D-06  6.715D-03  2.061D+00
  122  241     1     3  con    0  1.0D+00  1.4D-06  2.080D-03  2.061D+00
  123  243     1     3  con    1  4.9D-01  2.0D-06  1.972D-03  2.061D+00
  124  247     1     3  con    3  1.9D+00  1.1D-05  4.854D-03  2.061D+00
  125  248     1     3  con    0  1.0D+00  3.0D-06  2.484D-03  2.061D+00
  126  249     1     3  con    0  1.0D+00  3.0D-06  2.014D-03  2.061D+00
  127  250     1     3  con    0  1.0D+00  1.2D-06  1.038D-03  2.061D+00
  128  251     1     3  con    0  1.0D+00  6.0D-06  2.714D-03  2.061D+00
  129  253     1     3  con    1  3.0D-01  7.3D-06  2.299D-03  2.061D+00
  130  261     1     3  con    7  2.4D-08  3.4D-13  2.003D-03  2.061D+00
  131  262     1     3  con    0  1.0D+00  2.3D-06  1.514D-03  2.061D+00
  132  263     1     3  con    0  1.0D+00  1.0D-06  2.584D-03  2.061D+00
  133  264     1     3  con    0  1.0D+00  1.7D-06  1.498D-03  2.061D+00
  134  266     1     3  con    1  2.7D-01  1.4D-05  3.939D-03  2.061D+00
  135  268     1     3  con    1  5.0D+00  8.7D-06  3.945D-03  2.061D+00
  136  269     1     3  con    0  1.0D+00  3.9D-05  1.874D-02  2.061D+00
  137  281     1     3  con   11  5.3D-05  4.5D-09  1.759D-02  2.061D+00
  138  282     1     3  con    0  1.0D+00  1.2D-06  1.311D-02  2.061D+00
  139  283     1     3  con    0  1.0D+00  5.2D-06  3.975D-03  2.061D+00
  140  284     1     3  con    0  1.0D+00  3.4D-06  2.728D-03  2.061D+00
  141  287     1     3  con    2  3.2D+00  1.6D-05  9.386D-03  2.061D+00
  142  289     1     3  con    1  3.7D-01  1.3D-05  1.067D-02  2.061D+00
  143  290     1     3  con    0  1.0D+00  6.7D-06  4.098D-03  2.061D+00
  144  291     1     3  con    0  1.0D+00  1.4D-06  1.523D-03  2.061D+00
  145  294     1     3  con    2  6.0D-02  5.5D-06  1.486D-03  2.061D+00
