RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           12     M =           20

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  317  657     1     3  con    0  1.0D+00  2.4D-05  1.617D-02  2.061D+00
  318  662     1     3  con    4  5.8D-03  6.8D-07  1.688D-02  2.061D+00
  319  663     1     3  con    0  1.0D+00  4.0D-06  6.247D-03  2.061D+00
  320  664     1     3  con    0  1.0D+00  1.7D-06  1.125D-03  2.061D+00
  321  666     1     3  con    1  3.4D-01  2.3D-06  2.700D-03  2.061D+00
  322  668     1     3  con    1  5.0D+00  1.2D-05  1.320D-02  2.061D+00
  323  669     1     3  con    0  1.0D+00  2.7D-06  8.612D-03  2.061D+00
  324  671     1     3  con    1  4.4D-01  1.9D-06  1.941D-03  2.061D+00
  325  672     1     3  con    0  1.0D+00  7.1D-06  5.406D-03  2.061D+00
  326  673     1     3  con    0  1.0D+00  1.0D-06  2.389D-03  2.061D+00
  327  676     1     3  con    2  2.6D+00  1.1D-05  7.732D-03  2.061D+00
  328  678     1     3  con    1  5.0D-01  9.2D-06  1.101D-02  2.061D+00
  329  681     1     3  con    2  2.5D-02  9.1D-06  1.394D-02  2.061D+00
  330  682     1     3  con    0  1.0D+00  1.8D-06  8.327D-03  2.061D+00
  331  684     1     3  con    1  3.5D-01  7.9D-06  5.446D-03  2.061D+00
  332  687     1     3  con    2  2.6D+00  1.5D-05  1.316D-02  2.061D+00
  333  688     1     3  con    0  1.0D+00  4.3D-06  7.962D-03  2.061D+00
  334  689     1     3  con    0  1.0D+00  6.2D-06  1.671D-03  2.061D+00
  335  690     1     3  con    0  1.0D+00  2.6D-06  2.625D-03  2.061D+00
  336  692     1     3  con    1  5.5D-02  5.6D-06  5.447D-03  2.061D+00
  337  693     1     3  con    0  1.0D+00  1.1D-06  2.127D-03  2.061D+00
  338  696     1     3  con    2  2.4D+00  5.0D-06  4.931D-03  2.061D+00
  339  697     1     3  con    0  1.0D+00  2.5D-06  1.426D-03  2.061D+00
  340  698     1     3  con    0  1.0D+00  2.7D-06  6.638D-04  2.061D+00
  341  699     1     3  con    0  1.0D+00  1.8D-06  2.159D-03  2.061D+00
  342  700     1     3  con    0  1.0D+00  5.9D-06  2.499D-03  2.061D+00
  343  706     1     3  con    5  1.1D+00  2.7D-06  1.387D-03  2.061D+00
  344  707     1     3  con    0  1.0D+00  1.7D-06  1.285D-03  2.061D+00
  345  708     1     3  con    0  1.0D+00  1.8D-06  1.564D-03  2.061D+00
  346  710     1     3  con    1  1.1D-01  8.2D-06  1.046D-02  2.061D+00
  347  711     1     3  con    0  1.0D+00  1.9D-06  2.876D-03  2.061D+00
  348  713     1     3  con    1  5.0D+00  1.3D-05  2.362D-03  2.061D+00
  349  715     1     3  con    1  5.0D+00  1.8D-05  8.411D-03  2.061D+00
  350  721     1     3  con    5  9.8D+00  8.8D-05  2.200D-02  2.061D+00
  351  724     1     3  con    2  2.5D-01  6.3D-05  2.991D-02  2.061D+00
  352  731     1     3  con    6  1.3D-01  9.0D-05  3.765D-02  2.061D+00
  353  732     1     3  con    0  1.0D+00  5.9D-06  2.244D-02  2.061D+00
  354  733     1     3  con    0  1.0D+00  8.0D-05  3.769D-03  2.061D+00
  355  736     1     3  con    2  4.5D-02  5.6D-05  1.543D-02  2.061D+00
  356  740     1     3  con    3  1.2D+00  1.1D-04  3.059D-02  2.061D+00
  357  741     1     3  con    0  1.0D+00  2.6D-05  2.082D-02  2.061D+00
  358  742     1     3  con    0  1.0D+00  3.5D-05  2.407D-03  2.061D+00
  359  743     1     3  con    0  1.0D+00  6.0D-06  4.740D-03  2.061D+00
  360  744     1     3  con    0  1.0D+00  1.1D-05  3.166D-03  2.061D+00
  361  745     1     3  con    0  1.0D+00  7.0D-05  7.192D-03  2.061D+00
  362  747     1     3  con    1  3.7D-01  2.4D-04  3.014D-02  2.061D+00
  363  749     1     3  con    1  4.9D-01  1.7D-04  3.960D-02  2.061D+00
  364  750     1     3  con    0  1.0D+00  2.0D-04  3.957D-02  2.061D+00
  365  751     1     3  con    0  1.0D+00  1.5D-04  1.021D-02  2.061D+00
  366  752     1     3  con    0  1.0D+00  2.1D-04  1.048D-02  2.061D+00
  367  754     1     3  con    1  5.2D-01  2.1D-04  2.534D-02  2.061D+00
  368  755     1     3  con    0  1.0D+00  1.6D-04  1.824D-02  2.061D+00
  369  756     1     3  con    0  1.0D+00  2.2D-05  3.561D-03  2.061D+00
  370  758     1     3  con    1  2.4D-01  1.1D-04  1.749D-02  2.061D+00
  371  759     1     3  con    0  1.0D+00  2.8D-05  2.240D-02  2.061D+00
  372  760     1     3  con    0  1.0D+00  8.1D-05  2.030D-02  2.061D+00
  373  761     1     3  con    0  1.0D+00  1.3D-04  2.435D-02  2.061D+00
  374  762     1     3  con    0  1.0D+00  6.5D-05  1.464D-02  2.061D+00
  375  763     1     3  con    0  1.0D+00  1.2D-04  1.294D-02  2.061D+00
  376  764     1     3  con    0  1.0D+00  2.4D-05  9.676D-04  2.061D+00
  377  768     1     3  con    3  3.1D+00  2.1D-04  3.714D-02  2.061D+00
  378  769     1     3  con    0  1.0D+00  1.6D-04  4.681D-02  2.061D+00
  379  771     1     3  bnd    1  3.1D-01  1.7D-03  9.979D-02  2.061D+00
  380  772     1     3  con    0  1.0D+00  2.0D-04  3.071D-02  2.061D+00
  381  773     1     3  con    0  1.0D+00  8.7D-04  2.229D-02  2.061D+00
  382  774     1     3  con    0  1.0D+00  3.7D-04  1.310D-02  2.061D+00
  383  775     1     3  con    0  1.0D+00  1.3D-03  4.934D-03  2.061D+00
  384  779     1     3  con    3  1.7D+00  3.5D-04  1.272D-02  2.061D+00
  385  789     1     3  con    9  7.7D-06  6.6D-09  1.200D-02  2.061D+00
  386  790     1     3  con    0  1.0D+00  5.7D-05  1.534D-02  2.061D+00
  387  791     1     3  con    0  1.0D+00  4.9D-05  4.871D-03  2.061D+00
  388  794     1     3  con    2  9.2D-02  8.7D-06  2.979D-03  2.061D+00
  389  795     1     3  con    0  1.0D+00  1.1D-05  2.714D-03  2.061D+00
  390  799     1     3  con    3  1.7D-03  1.3D-06  4.861D-03  2.061D+00
  391  802     1     3  con    2  3.6D-02  4.4D-06  3.348D-03  2.061D+00
  392  805     1     3  con    2  8.6D-02  7.8D-06  3.877D-03  2.061D+00
  393  806     1     3  con    0  1.0D+00  1.0D-05  5.227D-03  2.061D+00
  394  808     1     3  con    1  2.4D-01  6.8D-06  2.450D-03  2.061D+00
  395  809     1     3  con    0  1.0D+00  3.4D-06  3.737D-03  2.061D+00
  396  812     1     3  con    2  2.3D+00  1.7D-05  3.192D-03  2.061D+00
  397  817     1     3  con    4  2.5D-03  2.6D-08  3.469D-03  2.061D+00
  398  823     1     3  con    5  4.1D-05  1.5D-08  4.436D-03  2.061D+00
  399  826     1     3  con    2  2.1D+00  1.1D-05  4.202D-03  2.061D+00
  400  829     1     3  con    2  7.5D-01  3.0D-06  2.086D-03  2.061D+00
  401  836     1     3  con    6  4.6D-02  1.1D-07  3.516D-03  2.061D+00
  402  858     1     3  ---    1  5.9D-04  2.7D-06  8.439D-03  2.061D+00
  403  860     1     3  con    1  5.0D+00  7.2D-06  4.153D-03  2.061D+00
  404  861     1     3  con    0  1.0D+00  3.0D-05  1.587D-02  2.061D+00
  405  862     1     3  con    0  1.0D+00  4.0D-05  1.311D-02  2.061D+00
  406  864     1     3  con    1  5.0D-01  7.1D-05  5.010D-03  2.061D+00
  407  865     1     3  con    0  1.0D+00  4.1D-06  2.597D-03  2.061D+00
  408  867     1     3  con    1  4.4D-01  1.9D-05  1.687D-02  2.061D+00
  409  869     1     3  con    1  4.0D-01  1.9D-05  2.490D-02  2.061D+00
  410  870     1     3  con    0  1.0D+00  2.2D-05  2.026D-02  2.061D+00
  411  871     1     3  con    0  1.0D+00  1.5D-05  6.568D-03  2.061D+00
  412  872     1     3  con    0  1.0D+00  1.6D-05  1.348D-02  2.061D+00
  413  873     1     3  con    0  1.0D+00  7.0D-06  2.397D-03  2.061D+00
  414  874     1     3  con    0  1.0D+00  4.7D-06  5.622D-03  2.061D+00
  415  875     1     3  con    0  1.0D+00  4.1D-06  1.027D-03  2.061D+00
  416  876     1     3  con    0  1.0D+00  2.5D-06  2.099D-03  2.061D+00
  417  879     1     3  con    2  2.3D-02  2.8D-06  2.035D-03  2.061D+00
  418  882     1     3  con    2  1.8D-01  1.2D-06  2.192D-03  2.061D+00
  419  883     1     3  con    0  1.0D+00  2.6D-06  1.577D-03  2.061D+00
  420  884     1     3  con    0  1.0D+00  1.6D-06  2.072D-03  2.061D+00
  421  885     1     3  con    0  1.0D+00  5.3D-06  4.885D-03  2.061D+00
  422  886     1     3  con    0  1.0D+00  9.7D-07  2.258D-03  2.061D+00
  423  887     1     3  con    0  1.0D+00  2.7D-06  2.702D-03  2.061D+00
  424  891     1     3  con    3  7.8D+00  1.6D-05  5.787D-03  2.061D+00
  425  893     1     3  con    1  2.0D-01  5.2D-06  6.961D-03  2.061D+00
  426  894     1     3  con    0  1.0D+00  4.8D-06  2.249D-03  2.061D+00
  427  895     1     3  con    0  1.0D+00  1.4D-05  7.978D-03  2.061D+00
  428  896     1     3  con    0  1.0D+00  6.8D-06  5.167D-03  2.061D+00
  429  898     1     3  con    1  9.9D-02  2.0D-05  1.336D-03  2.061D+00
  430  899     1     3  con    0  1.0D+00  7.3D-06  1.732D-03  2.061D+00
  431  901     1     3  con    1  4.0D-01  5.3D-06  2.457D-03  2.061D+00
  432  902     1     3  con    0  1.0D+00  5.7D-06  1.447D-03  2.061D+00
  433  909     1     3  con    6  8.6D-03  1.7D-08  1.686D-03  2.061D+00
  434  910     1     3  con    0  1.0D+00  1.7D-06  1.388D-03  2.061D+00
  435  912     1     3  con    1  3.9D-01  2.0D-06  2.302D-03  2.061D+00
  436  915     1     3  con    2  1.1D-01  1.5D-07  1.575D-03  2.061D+00
  437  917     1     3  con    1  3.7D-01  1.2D-07  1.031D-03  2.061D+00
  438  922     1     3  con    4  7.6D-03  2.1D-08  2.594D-03  2.061D+00
  439  927     1     3  con    4  4.7D-03  1.1D-08  1.238D-03  2.061D+00
  440  943     1     3  con   15  1.5D-06  3.1D-13  1.241D-03  2.061D+00
  441  956     1     3  con   12  5.1D-10  1.0D-16  1.241D-03  2.061D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Warning:  more than 10 function and gradient
   evaluations in the last line search.  Termination
   may possibly be caused by a bad search direction.

 Total User time 5.312E-01 seconds.

